Connected to: KEYSIGHT TECHNOLOGIES,DSOX1204G,CN62097261,02.12.2021071625
Number of samples: 19
[MJD: 60677.85276] Averaged frequency: 1.773632 MHz, period: 5.63814949998516342875E-07
Elapsed time: 950.90 ms

measurements counter=5.63748034299617223194E-07,gate=947.95 60677.85576
measurements counter=5.63814949998516342875E-07,gate=964.26 60677.85578
measurements counter=5.63748034299617223194E-07,gate=948.45 60677.85579
measurements counter=5.63614250541366298950E-07,gate=947.86 60677.85580
measurements counter=5.63814949998516342875E-07,gate=947.67 60677.85581
measurements counter=5.63714582406171205651E-07,gate=964.51 60677.85582
measurements counter=5.63714582406171205651E-07,gate=948.25 60677.85583
measurements counter=5.63915353337488433419E-07,gate=947.85 60677.85584
measurements counter=5.63681134482451715688E-07,gate=964.08 60677.85585
measurements counter=5.63681134482451715688E-07,gate=949.59 60677.85586
measurements counter=5.63748034299617223194E-07,gate=946.73 60677.85587
measurements counter=5.63748034299617223194E-07,gate=964.03 60677.85589
measurements counter=5.63781490163496617311E-07,gate=949.01 60677.85590
measurements counter=5.63748034299617223194E-07,gate=966.19 60677.85591
measurements counter=5.63714582406171205651E-07,gate=929.02 60677.85592
measurements counter=5.63748034299617223194E-07,gate=964.74 60677.85593
measurements counter=5.63781490163496617311E-07,gate=948.10 60677.85594
measurements counter=5.63781490163496617311E-07,gate=947.57 60677.85595
measurements counter=5.63848413805383248882E-07,gate=984.80 60677.85596
measurements counter=5.63848413805383248882E-07,gate=970.96 60677.85597
measurements counter=5.63781490163496617311E-07,gate=937.82 60677.85599
measurements counter=5.63681134482451715688E-07,gate=948.26 60677.85600
measurements counter=5.63781490163496617311E-07,gate=947.94 60677.85601
measurements counter=5.63781490163496617311E-07,gate=964.12 60677.85602
measurements counter=5.63748034299617223194E-07,gate=948.32 60677.85603
measurements counter=5.63748034299617223194E-07,gate=947.76 60677.85604
measurements counter=5.63781490163496617311E-07,gate=957.91 60677.85605
measurements counter=5.63814949998516342875E-07,gate=955.02 60677.85606
measurements counter=5.63814949998516342875E-07,gate=947.42 60677.85607
measurements counter=5.63848413805383248882E-07,gate=957.78 60677.85608
measurements counter=5.63681134482451715688E-07,gate=954.75 60677.85610
measurements counter=5.63714582406171205651E-07,gate=947.91 60677.85611
measurements counter=5.63814949998516342875E-07,gate=947.96 60677.85612
measurements counter=5.63848413805383248882E-07,gate=964.27 60677.85613
measurements counter=5.63848413805383248882E-07,gate=948.08 60677.85614
measurements counter=5.63781490163496617311E-07,gate=981.90 60677.85615
measurements counter=5.63748034299617223194E-07,gate=948.60 60677.85616
measurements counter=5.63748034299617223194E-07,gate=947.21 60677.85617
measurements counter=5.63781490163496617311E-07,gate=963.44 60677.85618
